name,pl_orbsmax
d1367,0.0474
d1368,0.0797
d1369,0.0773
d1370,0.0795
d1371,0.1156
d1372,0.1577
d1373,0.0557
d1374,0
d1375,0.0575
d1376,0.061
d1377,0.0811
d1378,0.1
d1379,0.1578
d1380,0.098
d1381,1.18
d1382,0.1205
d1383,0.1041
d1384,0.0464
d1385,0
d1386,0.6259
d1387,0.067
d1388,0
d1389,0.207
d1390,0.1547
d1391,0.032
d1392,0.044
d1393,0.1025
d1394,0.3529
d1395,0.077
d1396,6.037
d1397,0.352
d1398,0.056
d1399,0.019
d1400,0
d1401,0
d1402,0
d1403,0.1916
d1404,0
d1405,0
d1406,0.0807
d1407,0
d1408,0.1397
d1409,0.116
d1410,0.1306
d1411,0.0538
d1412,0.1508
d1413,0.05
d1414,0.1405
d1415,0.051
d1416,0.132
d1417,0.1132
d1418,0.0469
d1419,0.0994
d1420,0.0697
d1421,0.068
d1422,0.033
d1423,0.0238
d1424,0
d1425,0.2004
d1426,0.032
d1427,0.4806
d1428,0
d1429,0.1279
d1430,0.071
d1431,0.0889
d1432,0.0906
d1433,0.0692
d1434,0
d1435,0.17
d1436,0.0925
d1437,0.1604
d1438,0.0537
d1439,0.078
d1440,0.0755
d1441,0
d1442,0.032
d1443,0.6108
d1444,0
d1445,0.2799
d1446,0.227
d1447,0.1631
d1448,0.2867
d1449,0.0796
d1450,0.173
d1451,0.7307
d1452,0.0567
d1453,0.0784
d1454,4.61
d1455,0.91
d1456,0.1153
d1457,0.78
d1458,0.0808
d1459,0.095
d1460,0.0626
d1461,0.2018
d1462,0.3753
d1463,0.1557
d1464,0.0559
d1465,0.0123
d1466,0.0334
d1467,0.0811
d1468,0.117
d1469,0.038
d1470,3.82
d1471,0.2259
d1472,0.069
d1473,0.0486
d1474,0.1071
d1475,0.0463
d1476,0.0252
d1477,0.1871
d1478,0.2014
d1479,0.3679
d1480,0
d1481,0
d1482,2.1
d1483,0
d1484,0.2564
d1485,0.0881
d1486,0.251
d1487,0.1463
d1488,0.0817
d1489,0.042
d1490,0.196
d1491,0.0775
d1492,0.0422
d1493,0.0516
d1494,0.056
d1495,0.064
d1496,0.04967
d1497,0.1606
d1498,0.0906
d1499,0.223
d1500,0
d1501,0.1387
d1502,0.037
d1503,0.6469
d1504,0.1886
d1505,0
d1506,0.1502
d1507,5.5
d1508,0
d1509,0.057638
d1510,0.077
d1511,2.55
d1512,0.0439
d1513,0.2919
d1514,0.1774
d1515,2.198
d1516,0.071
d1517,0.0926
d1518,0.0817
d1519,0.0416
d1520,0.0472
d1521,0.1406
d1522,0
d1523,0.0597
d1524,0.1882
d1525,0
d1526,0.1418
d1527,0.055
d1528,4.69
d1529,0.3436
d1530,0.0488
d1531,0.0429
d1532,0.085
d1533,2.03
d1534,0.0438
d1535,0.123
d1536,0.02536
d1537,0.0929
d1538,0.0432
d1539,1.02
d1540,0.0857
d1541,0.0726
d1542,1.4
d1543,0.2535
d1544,0.0395
d1545,0.0255
d1546,0.0905
d1547,0.044
d1548,0.02
d1549,0.139
d1550,0.1242
d1551,0.17
d1552,0
d1553,0.211
d1554,0.2234
d1555,2.265
d1556,0.03092
d1557,0.0326
d1558,0.1109
d1559,0.3259
d1560,0
d1561,3.404
d1562,0.2142
d1563,0.124
d1564,0.049
d1565,0.0699
d1566,0.0643
d1567,0
d1568,0.077
d1569,0.224
d1570,0.1088
d1571,0.0682
d1572,0.0232
d1573,0.0604
d1574,0.038534
d1575,0.04436
d1576,0.1328
d1577,0
d1578,0
d1579,2.1
d1580,0.051
d1581,0.012
d1582,0.1467
d1583,0.115
d1584,0.08
d1585,0.0255
d1586,0.0482
d1587,1.32
d1588,0.03635
d1589,0.1074
d1590,0.0791
d1591,0.0587
d1592,0
d1593,0.0471
d1594,0.109
d1595,0.0295
d1596,0
d1597,0.0529
d1598,0.0734
d1599,0.81
d1600,0.223
d1601,0.088
d1602,0.3008
d1603,0.1015
d1604,0.0802
d1605,0.025
d1606,0.3825
d1607,0
d1608,1.25
d1609,0.186
d1610,0.14
d1611,0.040616
d1612,0.03317
d1613,5.6
d1614,0.08799
d1615,0.0491
d1616,0.1758
d1617,0
d1618,0
d1619,2.11
d1620,0.5886
d1621,0.218
d1622,0.072
d1623,0.385
d1624,0.0981
d1625,0.0415
d1626,0.3996
d1627,0.1778
